movie_name,ranking,score,score_num
肖申克的救赎,1,9.7,2395247
霸王别姬,2,9.6,1783313
阿甘正传,3,9.5,1803641
这个杀手不太冷,4,9.4,1973415
泰坦尼克号,5,9.4,1765064
美丽人生,6,9.6,1107225
千与千寻,7,9.4,1881101
辛德勒的名单,8,9.5,920001
盗梦空间,9,9.3,1737398
忠犬八公的故事,10,9.4,1194422
星际穿越,11,9.3,1410654
楚门的世界,12,9.3,1328795
海上钢琴师,13,9.3,1411555
三傻大闹宝莱坞,14,9.2,1585069
机器人总动员,15,9.3,1114883
放牛班的春天,16,9.3,1099881
无间道,17,9.3,1076217
疯狂动物城,18,9.2,1558740
大话西游之大圣娶亲,19,9.2,1285348
熔炉,20,9.3,779763
教父,21,9.3,782566
当幸福来敲门,22,9.1,1274903
龙猫,23,9.2,1064331
怦然心动,24,9.1,1514176
控方证人,25,9.6,380045
触不可及,26,9.3,842255
末代皇帝,27,9.3,679202
蝙蝠侠：黑暗骑士,28,9.2,871654
寻梦环游记,29,9.1,1328141
活着,30,9.3,678200
指环王3：王者无敌,31,9.3,664072
乱世佳人,32,9.3,575047
哈利·波特与魔法石,33,9.1,897612
何以为家,34,9.1,843898
飞屋环游记,35,9.0,1110522
素媛,36,9.3,553174
摔跤吧！爸爸,37,9.0,1314940
十二怒汉,38,9.4,386674
少年派的奇幻漂流,39,9.1,1158705
哈尔的移动城堡,40,9.1,830330
鬼子来了,41,9.3,514016
我不是药神,42,9.0,1748455
大话西游之月光宝盒,43,9.0,1024307
天空之城,44,9.1,696485
天堂电影院,45,9.2,573756
闻香识女人,46,9.1,715758
指环王2：双塔奇兵,47,9.1,618484
罗马假日,48,9.0,809475
猫鼠游戏,49,9.1,750517
辩护人,50,9.2,504517
指环王1：护戒使者,51,9.1,703397
大闹天宫,52,9.4,345521
钢琴家,53,9.2,466395
狮子王,54,9.1,687680
教父2,55,9.2,439831
死亡诗社,56,9.1,578948
搏击俱乐部,57,9.0,710469
让子弹飞,58,8.9,1361966
黑客帝国,59,9.1,669547
绿皮书,60,8.9,1302379
饮食男女,61,9.1,492948
海蒂和爷爷,62,9.2,389363
美丽心灵,63,9.0,632981
窃听风暴,64,9.2,467316
本杰明·巴顿奇事,65,8.9,820556
两杆大烟枪,66,9.1,503494
情书,67,8.9,839788
看不见的客人,68,8.8,1014153
穿条纹睡衣的男孩,69,9.1,433257
飞越疯人院,70,9.1,476849
西西里的美丽传说,71,8.9,811593
拯救大兵瑞恩,72,9.0,537089
小鞋子,73,9.2,337841
音乐之声,74,9.1,497808
阿凡达,75,8.8,1172083
海豚湾,76,9.3,314513
致命魔术,77,8.9,715343
美国往事,78,9.2,343845
沉默的羔羊,79,8.9,714836
禁闭岛,80,8.8,790259
蝴蝶效应,81,8.8,774903
低俗小说,82,8.9,690299
心灵捕手,83,8.9,584999
布达佩斯大饭店,84,8.9,740664
春光乍泄,85,9.0,520891
七宗罪,86,8.8,802409
哈利·波特与死亡圣器(下),87,8.9,648848
摩登时代,88,9.3,241108
喜剧之王,89,8.8,797965
被嫌弃的松子的一生,90,8.9,607696
致命ID,91,8.8,666761
杀人回忆,92,8.9,565469
加勒比海盗,93,8.8,723165
剪刀手爱德华,94,8.7,906519
勇敢的心,95,8.9,494850
狩猎,96,9.1,311515
请以你的名字呼唤我,97,8.9,567227
红辣椒,98,9.0,354937
7号房的礼物,99,8.9,452443
断背山,100,8.8,605967
天使爱美丽,101,8.7,855224
幽灵公主,102,8.9,446502
功夫,103,8.7,855514
超脱,104,8.9,417490
小森林 夏秋篇,105,9.0,353544
